"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Sweden (SE)","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11433","n/e","6294","949","n/e","1","n/e","n/e","5878"
"Sweden (SE)","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11528","n/e","6293","946","n/e","3","n/e","n/e","5821"
"Sweden (SE)","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11514","n/e","6292","936","n/e","6","n/e","n/e","5732"
"Sweden (SE)","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11536","n/e","6293","892","n/e","6","n/e","n/e","5777"
"Sweden (SE)","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11520","n/e","6294","898","n/e","3","n/e","n/e","5756"
"Sweden (SE)","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11725","n/e","6294","898","n/e","1","n/e","n/e","5782"
"Sweden (SE)","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12006","n/e","6294","900","n/e","0","n/e","n/e","5815"
"Sweden (SE)","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12141","n/e","6295","906","n/e","0","n/e","n/e","5860"
"Sweden (SE)","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12480","n/e","6296","912","n/e","0","n/e","n/e","5827"
"Sweden (SE)","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12482","n/e","6294","877","n/e","0","n/e","n/e","5858"
"Sweden (SE)","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12459","n/e","6293","875","n/e","0","n/e","n/e","5910"
"Sweden (SE)","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12091","n/e","6293","865","n/e","0","n/e","n/e","5899"
"Sweden (SE)","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11726","n/e","6293","832","n/e","0","n/e","n/e","5860"
"Sweden (SE)","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11305","n/e","6293","801","n/e","0","n/e","n/e","5851"
"Sweden (SE)","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10774","n/e","6293","791","n/e","0","n/e","n/e","5874"
"Sweden (SE)","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9698","n/e","6291","813","n/e","0","n/e","n/e","5800"
"Sweden (SE)","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8814","n/e","6292","791","n/e","0","n/e","n/e","5700"
"Sweden (SE)","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8821","n/e","6210","800","n/e","0","n/e","n/e","5642"
"Sweden (SE)","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8933","n/e","6029","810","n/e","0","n/e","n/e","5569"
"Sweden (SE)","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9271","n/e","5844","831","n/e","0","n/e","n/e","5364"
"Sweden (SE)","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","9592","n/e","5757","859","n/e","0","n/e","n/e","5334"
"Sweden (SE)","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10412","n/e","5756","896","n/e","0","n/e","n/e","5298"
"Sweden (SE)","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11607","n/e","5756","912","n/e","0","n/e","n/e","5226"
"Sweden (SE)","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12091","n/e","5757","956","n/e","0","n/e","n/e","5252"
"Sweden (SE)","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12142","n/e","5755","980","n/e","1","n/e","n/e","5148"
"Sweden (SE)","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12161","n/e","5754","975","n/e","7","n/e","n/e","5101"
"Sweden (SE)","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12173","n/e","5759","993","n/e","16","n/e","n/e","4960"
"Sweden (SE)","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12281","n/e","5758","970","n/e","19","n/e","n/e","4815"
"Sweden (SE)","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12292","n/e","5759","978","n/e","14","n/e","n/e","4803"
